Latitude,Municipality,Location,Longitude,Count
53.26297,SKIDEGATE,HWY 16 # 000792 TO 000899,-131.993939,1.0
54.31103,PRINCE RUPERT,1ST AVE W # 000800 TO 000899,-130.331702,1.0
54.310621,PRINCE RUPERT,3RD AVE W # 000700 TO 000799,-130.328263,1.0
54.310374,PRINCE RUPERT,CORMORANT RD & RAVEN CRES,-130.301778,1.0
54.323594,PRINCE RUPERT,8TH AVE E & FREDERICK ST,-130.296765,1.0
54.055577,KITIMAT,HAISLA BLVD & KULDO BLVD,-128.666752,1.0
54.541962,TERRACE,KALUM LAKE RD # 000350 TO 000381,-128.638074,1.0
54.516751,TERRACE,HWY 16 W # 005000 TO 005109,-128.617764,1.0
54.528232,TERRACE,MCCONNELL AVE & THOMAS ST,-128.612046,1.0
54.518827,TERRACE,KENNEY ST & PARK AVE,-128.611329,1.0
54.515655,TERRACE,EBY ST & HWY 16 FRTG & HWY 16 W & PARK ACCESS ROAD,-128.599049,1.0
54.517813,TERRACE,EBY ST & LAZELLE AVE,-128.598993,1.0
54.518721,TERRACE,EBY ST & PARK AVE,-128.598965,1.0
54.513259,TERRACE,KEITH AVE # 004720 TO 004748,-128.595219,1.0
54.513209,TERRACE,HALL ST & KEITH AVE,-128.591427,2.0
54.517487,TERRACE,EMERSON ST & LAZELLE AVE,-128.589118,1.0
50.730616,PORT HARDY,BAAS RD & PARK DR,-127.49789,1.0
50.720696,PORT HARDY,GRANVILLE ST & RUPERT ST,-127.496662,1.0
50.72419,PORT HARDY,ISLAND HWY & RUPERT ST,-127.494652,1.0
50.723227,PORT HARDY,MARKET ST # 007250 TO 007299,-127.492243,1.0
54.801987,SMITHERS,HWY 16 W & LUND AVE & REGINA ST,-127.19394,1.0
54.781075,SMITHERS,1ST AVE & QUEEN ST,-127.173854,1.0
54.779864,SMITHERS,4TH AVE & KING ST,-127.166233,1.0
54.781492,SMITHERS,9TH AVE & KING ST & PRINCESS CRES,-127.162046,1.0
54.780038,SMITHERS,PRINCESS CRES & PRINCESS ST,-127.161096,1.0
54.777854,SMITHERS,FRONTAGE RD & FULTON AVE,-127.160473,1.0
54.77587,SMITHERS,16TH AVE & FULTON AVE,-127.153146,1.0
54.743287,SMITHERS,BABINE LAKE RD & HWY 16 E & LAIDLAW FRTG,-127.10893,1.0
54.743287,TELKWA,BABINE LAKE RD & HWY 16 E & LAIDLAW FRTG,-127.10893,1.0
50.581576,PORT MCNEILL,CAMOSUN CRES & CHELOHSIN CRES,-127.079289,1.0
49.15209,TOFINO,CAMPBELL ST & CYPRE CRES,-125.901325,1.0
49.149731,TOFINO,CAMPBELL ST # 000620 TO 000639,-125.896009,1.0
49.1489,TOFINO,CAMPBELL ST & OLSEN RD,-125.893169,3.0
49.133396,TOFINO,PACIFIC RIM HWY # 001066 TO 001099,-125.89291,1.0
49.119415,TOFINO,PACIFIC RIM HWY # 001200 TO 001334,-125.887618,1.0
54.262307,BURNS LAKE,BEATTY RD # 003872 TO 004596,-125.798545,1.0
54.233473,BURNS LAKE,HWY 16 W # 000600 TO 000649,-125.764131,1.0
54.234131,BURNS LAKE,8TH AVE & CENTER ST,-125.759997,1.0
50.014027,CAMPBELL RIVER,INLAND ISLAND HWY & INLAND ISLAND HWY ONRAMP & WILLIS RD & WILLIS RD OFFRAMP,-125.282717,1.0
49.894141,CAMPBELL RIVER,CRANBERRY LANE & INLAND ISLAND HWY & TURNING LANE,-125.274553,1.0
50.033098,CAMPBELL RIVER,ISLAND HWY & TAMARAC ST,-125.273101,1.0
50.057001,CAMPBELL RIVER,DISCOVERY DR & MCDONALD RD,-125.268547,1.0
50.029898,CAMPBELL RIVER,15TH AVE & REDWOOD ST,-125.268467,1.0
50.02878,CAMPBELL RIVER,14TH AVE & ELK RIVER TIMBER RD & HOMEWOOD RD & MAPLE ST,-125.264115,1.0
50.030656,CAMPBELL RIVER,16TH AVE & MAPLE ST,-125.263677,1.0
50.007507,CAMPBELL RIVER,ELK RIVER TIMBER RD & EVERGREEN RD & S ELK RIVER RD,-125.25906,1.0
50.028076,CAMPBELL RIVER,13TH AVE & IRONWOOD ST,-125.254963,1.0
50.030509,CAMPBELL RIVER,16TH AVE & IRONWOOD ST,-125.254913,2.0
50.007511,CAMPBELL RIVER,EVERGREEN RD & MCPHEDRAN RD & S MCPHEDRAN RD,-125.253054,1.0
50.025028,CAMPBELL RIVER,10TH AVE & ELM ST,-125.2495,2.0
50.031869,CAMPBELL RIVER,DOGWOOD ST & DRAKE RD & UNSIGNED,-125.249325,1.0
50.030448,CAMPBELL RIVER,16TH AVE & DOGWOOD ST,-125.249315,1.0
50.033094,CAMPBELL RIVER,DOGWOOD ST & ISLAND HWY & TURNING LANE,-125.248679,1.0
50.023179,CAMPBELL RIVER,9TH AVE & DOGWOOD ST,-125.247972,1.0
49.994892,CAMPBELL RIVER,ROBRON RD & S DOGWOOD ST,-125.247635,2.0
50.003903,CAMPBELL RIVER,PINECREST RD & S DOGWOOD ST,-125.247383,1.0
50.032405,CAMPBELL RIVER,ISLAND HWY # 001316 TO 001380,-125.247337,1.0
50.029623,CAMPBELL RIVER,16TH AVE # 001359 TO 001376,-125.246658,1.0
50.030359,CAMPBELL RIVER,ISLAND HWY & ROBERTS REACH & TURNING LANE,-125.245069,1.0
50.024051,CAMPBELL RIVER,ALDER ST & ST ANNS RD,-125.242842,1.0
50.022768,CAMPBELL RIVER,ALDER ST # 000865 TO 000899,-125.242752,2.0
49.994903,CAMPBELL RIVER,CHRISTOPHER RD & ROBRON RD,-125.242396,1.0
50.020987,CAMPBELL RIVER,ALDER ST # 000670 TO 000719,-125.241791,1.0
50.007511,CAMPBELL RIVER,ALDER ST & EVERGREEN RD & S ALDER ST,-125.23942,1.0
50.009314,CAMPBELL RIVER,1ST AVE & ALDER ST,-125.239324,1.0
50.021967,CAMPBELL RIVER,ISLAND HWY # 000660 TO 000899,-125.23932,1.0
50.019558,CAMPBELL RIVER,6TH AVE & ISLAND HWY,-125.237263,1.0
50.01773,CAMPBELL RIVER,ISLAND HWY # 000500 TO 000599,-125.236544,1.0
49.994917,CAMPBELL RIVER,ROBRON RD & S ALDER ST,-125.234476,1.0
49.957468,CAMPBELL RIVER,BEAVER CREEK BLVD & ERICKSON RD & S DOGWOOD ST & TURNING LANE,-125.232403,1.0
49.967333,CAMPBELL RIVER,HOLM RD & S ALDER ST,-125.231935,1.0
49.973103,CAMPBELL RIVER,GALERNO RD & HILCHEY RD,-125.227328,1.0
49.969205,CAMPBELL RIVER,CAMBRIDGE DR & GALERNO RD,-125.225383,1.0
49.967254,CAMPBELL RIVER,GALERNO RD & HOLM RD,-125.223987,1.0
49.973051,CAMPBELL RIVER,HILCHEY RD & ISLAND HWY S,-125.219139,2.0
49.971258,CAMPBELL RIVER,ISLAND HWY S & WESTGATE RD,-125.21681,1.0
49.964197,CAMPBELL RIVER,ERICKSON RD & HARROGATE RD,-125.214598,2.0
49.96816,CAMPBELL RIVER,ISLAND HWY S # 002400 TO 002599,-125.209939,1.0
49.961921,CAMPBELL RIVER,BARLOW RD & ISLAND HWY S,-125.209323,1.0
49.830044,BLACK CREEK,HAMM RD & INLAND ISLAND HWY & TURNING LANE,-125.19033,1.0
