Latitude,Municipality,Location,Longitude,Count
59.500553,ATLIN,SLOKO CRT # 000265 TO 000289,-133.672143,1.0
54.0116,MASSET,COLLISON AVE # 002000 TO 002029,-132.147238,1.0
54.304802,PRINCE RUPERT,ATLIN AVE # 001400 TO 001543,-130.341557,1.0
54.30309,PRINCE RUPERT,KOOTENAY AVE # 001400 TO 001499,-130.335744,1.0
54.308078,PRINCE RUPERT,1ST AVE W & 2ND AVE W & 3RD AVE W & PARK AVE & TURNING LANE,-130.334134,1.0
54.31103,PRINCE RUPERT,1ST AVE W # 000800 TO 000899,-130.331702,1.0
54.31083,PRINCE RUPERT,2ND AVE W & 7TH ST,-130.32992,1.0
54.309828,PRINCE RUPERT,3RD AVE W # 000800 TO 000899,-130.329554,1.0
54.310245,PRINCE RUPERT,3RD AVE W & 7TH ST,-130.328876,1.0
54.31276,PRINCE RUPERT,2ND AVE W & 4TH ST,-130.326763,1.0
54.313356,PRINCE RUPERT,2ND AVE W & 3RD ST,-130.325784,1.0
54.304276,PRINCE RUPERT,COMOX AVE & HAYS VALE DR,-130.324844,1.0
54.313151,PRINCE RUPERT,3RD AVE W # 000300 TO 000399,-130.32412,2.0
54.3097,PRINCE RUPERT,6TH AVE W & FULTON ST,-130.323578,1.0
54.316284,PRINCE RUPERT,1ST AVE E & 1ST AVE W & MCBRIDE ST,-130.32306,2.0
54.30645,PRINCE RUPERT,9TH AVE W & COMOX AVE & FULTON ST,-130.322945,1.0
54.315139,PRINCE RUPERT,3RD AVE E & 3RD AVE W & MARKET PL & MCBRIDE ST,-130.321032,1.0
54.31254,PRINCE RUPERT,6TH AVE W & DUNSMUIR ST,-130.318917,1.0
54.313875,PRINCE RUPERT,5TH AVE E & 5TH AVE W & MCBRIDE ST,-130.318792,1.0
54.313272,PRINCE RUPERT,6TH AVE E & 6TH AVE W & MCBRIDE ST,-130.317718,3.0
54.310215,PRINCE RUPERT,HWY 16 & WANTAGE RD,-130.310755,1.0
54.320202,PRINCE RUPERT,6TH AVE E & DRY DOCK RD,-130.306288,1.0
54.320493,PRINCE RUPERT,6TH AVE E & AMBROSE AVE & HAYS COVE AVE,-130.305819,1.0
54.317723,PRINCE RUPERT,CONRAD ST & PRINCE RUPERT BLVD,-130.297723,2.0
54.055577,KITIMAT,HAISLA BLVD & KULDO BLVD,-128.666752,1.0
54.055096,KITIMAT,HAISLA BLVD & N LAHAKAS BLVD & S LAHAKAS BLVD & TURNING LANE,-128.656211,1.0
54.054268,KITIMAT,CITY CENTRE # 000100 TO 000499,-128.653057,1.0
54.058317,KITIMAT,GYRFALCON AVE & N LAHAKAS BLVD,-128.640488,1.0
54.541962,TERRACE,KALUM LAKE RD # 000350 TO 000381,-128.638074,1.0
54.05735,KITIMAT,GYRFALCON AVE # 001700 TO 001723,-128.634508,1.0
54.061921,KITIMAT,NALABILA BLVD # 001400 TO 001425,-128.631848,1.0
54.056076,KITIMAT,SWALLOW ST # 000050 TO 000119,-128.623677,1.0
54.511039,TERRACE,AGAR AVE & KENNEY ST,-128.611641,1.0
54.516303,TERRACE,HWY 16 W & KENNEY ST & TURNING LANE,-128.611432,1.0
54.516472,TERRACE,MUNROE ST # 003200 TO 003205,-128.605285,1.0
54.515655,TERRACE,EBY ST & HWY 16 FRTG & HWY 16 W & PARK ACCESS ROAD,-128.599049,1.0
54.517813,TERRACE,EBY ST & LAZELLE AVE,-128.598993,2.0
54.518721,TERRACE,EBY ST & PARK AVE,-128.598965,3.0
54.523183,TERRACE,SCOTT AVE # 004700 TO 004799,-128.595701,1.0
54.520439,TERRACE,SPARKS ST & WALSH AVE,-128.592698,1.0
54.513219,TERRACE,KEITH AVE # 004630 TO 004649,-128.59219,1.0
54.515812,TERRACE,EMERSON ST & GREIG AVE,-128.589441,1.0
54.511311,TERRACE,CRAMER ST & FEENEY AVE,-128.583695,1.0
54.511678,THORNHILL,HWY 16 E & KOFOED DR & OLD LAKELSE LAKE DR & THORNHILL FRTG RD N & ACCESS ROAD & TURNING LANE,-128.548773,1.0
54.514113,THORNHILL,DESJARDINS AVE & THORNHILL FRTG RD N,-128.541706,1.0
55.255662,HAZELTON,FIELD ST & RIVER RD,-127.676459,1.0
55.255157,GITANMAAX,HWY 62 # 001960 TO 001967,-127.664599,1.0
50.723529,PORT HARDY,GRANVILLE ST & HIGHVIEW RD & PORT HARDY SECONDARY SCHOOL ACCESS,-127.506789,1.0
